Fecha,Productos,Ingreso,Tienda
01/01/2019,19,8936,1
02/01/2019,43,8765,1
03/01/2019,30,8235,1
04/01/2019,33,8556,1
05/01/2019,23,7511,1
06/01/2019,21,5263,1
07/01/2019,29,8771,1
08/01/2019,16,8551,1
09/01/2019,20,6471,1
10/01/2019,35,9349,1
11/01/2019,25,7325,1
12/01/2019,31,7801,1
13/01/2019,44,7655,1
14/01/2019,26,8150,1
15/01/2019,50,8289,1
16/01/2019,37,8535,1
17/01/2019,24,5109,1
18/01/2019,28,9773,1
19/01/2019,42,9372,1
20/01/2019,39,8898,1
21/01/2019,15,5578,1
22/01/2019,20,8717,1
23/01/2019,33,8763,1
24/01/2019,39,9335,1
25/01/2019,30,6797,1
26/01/2019,27,8246,1
27/01/2019,21,8723,1
28/01/2019,38,8543,1
29/01/2019,28,6562,1
30/01/2019,32,7511,1
31/01/2019,48,5945,1
01/02/2019,25,6365,1
02/02/2019,47,7927,1
03/02/2019,50,6345,1
04/02/2019,38,5918,1
05/02/2019,30,6775,1
06/02/2019,20,6268,1
07/02/2019,38,5369,1
08/02/2019,28,7723,1
09/02/2019,32,7984,1
10/02/2019,49,5695,1
11/02/2019,42,8576,1
12/02/2019,41,5860,1
13/02/2019,24,8003,1
14/02/2019,24,9257,1
15/02/2019,19,5931,1
16/02/2019,27,5386,1
17/02/2019,29,6675,1
18/02/2019,47,7105,1
19/02/2019,29,9093,1
20/02/2019,41,8963,1
21/02/2019,23,8463,1
22/02/2019,29,8338,1
23/02/2019,17,7438,1
24/02/2019,48,8593,1
25/02/2019,29,8546,1
26/02/2019,38,7816,1
27/02/2019,21,6583,1
28/02/2019,29,9198,1
01/03/2019,31,7230,1
02/03/2019,48,5713,1
03/03/2019,28,8736,1
04/03/2019,39,6102,1
05/03/2019,33,5210,1
06/03/2019,46,5862,1
07/03/2019,39,9234,1
08/03/2019,37,7463,1
09/03/2019,41,5717,1
10/03/2019,49,7182,1
11/03/2019,28,7472,1
12/03/2019,44,9287,1
13/03/2019,33,8800,1
14/03/2019,43,8669,1
15/03/2019,34,9572,1
16/03/2019,48,6329,1
17/03/2019,32,7818,1
18/03/2019,46,9565,1
19/03/2019,40,8508,1
20/03/2019,50,7024,1
21/03/2019,23,8978,1
22/03/2019,48,9286,1
23/03/2019,38,5486,1
24/03/2019,28,5260,1
25/03/2019,47,5656,1
26/03/2019,24,7989,1
27/03/2019,25,7747,1
28/03/2019,23,8270,1
29/03/2019,35,8502,1
30/03/2019,16,8392,1
31/03/2019,47,7437,1
01/04/2019,41,9595,1
02/04/2019,26,6627,1
03/04/2019,22,5884,1
04/04/2019,46,5068,1
05/04/2019,28,9057,1
06/04/2019,47,9020,1
07/04/2019,32,9026,1
