Fecha,Productos,Ingreso,Tienda,año,dia,mes
2019-01-01,19,8936,1,2019,Tuesday,January
2019-01-02,43,8765,1,2019,Wednesday,January
2019-01-03,30,8235,1,2019,Thursday,January
2019-01-04,33,8556,1,2019,Friday,January
2019-01-05,23,7511,1,2019,Saturday,January
2019-01-06,21,5263,1,2019,Sunday,January
2019-01-07,29,8771,1,2019,Monday,January
2019-01-08,16,8551,1,2019,Tuesday,January
2019-01-09,20,6471,1,2019,Wednesday,January
2019-01-10,35,9349,1,2019,Thursday,January
2019-01-11,25,7325,1,2019,Friday,January
2019-01-12,31,7801,1,2019,Saturday,January
2019-01-13,44,7655,1,2019,Sunday,January
2019-01-14,26,8150,1,2019,Monday,January
2019-01-15,50,8289,1,2019,Tuesday,January
2019-01-16,37,8535,1,2019,Wednesday,January
2019-01-17,24,5109,1,2019,Thursday,January
2019-01-18,28,9773,1,2019,Friday,January
2019-01-19,42,9372,1,2019,Saturday,January
2019-01-20,39,8898,1,2019,Sunday,January
2019-01-21,15,5578,1,2019,Monday,January
2019-01-22,20,8717,1,2019,Tuesday,January
2019-01-23,33,8763,1,2019,Wednesday,January
2019-01-24,39,9335,1,2019,Thursday,January
2019-01-25,30,6797,1,2019,Friday,January
2019-01-26,27,8246,1,2019,Saturday,January
2019-01-27,21,8723,1,2019,Sunday,January
2019-01-28,38,8543,1,2019,Monday,January
2019-01-29,28,6562,1,2019,Tuesday,January
2019-01-30,32,7511,1,2019,Wednesday,January
2019-01-31,48,5945,1,2019,Thursday,January
2019-02-01,25,6365,1,2019,Friday,February
2019-02-02,47,7927,1,2019,Saturday,February
2019-02-03,50,6345,1,2019,Sunday,February
2019-02-04,38,5918,1,2019,Monday,February
2019-02-05,30,6775,1,2019,Tuesday,February
2019-02-06,20,6268,1,2019,Wednesday,February
2019-02-07,38,5369,1,2019,Thursday,February
2019-02-08,28,7723,1,2019,Friday,February
2019-02-09,32,7984,1,2019,Saturday,February
2019-02-10,49,5695,1,2019,Sunday,February
2019-02-11,42,8576,1,2019,Monday,February
2019-02-12,41,5860,1,2019,Tuesday,February
2019-02-13,24,8003,1,2019,Wednesday,February
2019-02-14,24,9257,1,2019,Thursday,February
2019-02-15,19,5931,1,2019,Friday,February
2019-02-16,27,5386,1,2019,Saturday,February
2019-02-17,29,6675,1,2019,Sunday,February
2019-02-18,47,7105,1,2019,Monday,February
2019-02-19,29,9093,1,2019,Tuesday,February
2019-02-20,41,8963,1,2019,Wednesday,February
2019-02-21,23,8463,1,2019,Thursday,February
2019-02-22,29,8338,1,2019,Friday,February
2019-02-23,17,7438,1,2019,Saturday,February
2019-02-24,48,8593,1,2019,Sunday,February
2019-02-25,29,8546,1,2019,Monday,February
2019-02-26,38,7816,1,2019,Tuesday,February
2019-02-27,21,6583,1,2019,Wednesday,February
2019-02-28,29,9198,1,2019,Thursday,February
2019-03-01,31,7230,1,2019,Friday,March
2019-03-02,48,5713,1,2019,Saturday,March
2019-03-03,28,8736,1,2019,Sunday,March
2019-03-04,39,6102,1,2019,Monday,March
2019-03-05,33,5210,1,2019,Tuesday,March
2019-03-06,46,5862,1,2019,Wednesday,March
2019-03-07,39,9234,1,2019,Thursday,March
2019-03-08,37,7463,1,2019,Friday,March
2019-03-09,41,5717,1,2019,Saturday,March
2019-03-10,49,7182,1,2019,Sunday,March
2019-03-11,28,7472,1,2019,Monday,March
2019-03-12,44,9287,1,2019,Tuesday,March
2019-03-13,33,8800,1,2019,Wednesday,March
2019-03-14,43,8669,1,2019,Thursday,March
2019-03-15,34,9572,1,2019,Friday,March
2019-03-16,48,6329,1,2019,Saturday,March
2019-03-17,32,7818,1,2019,Sunday,March
2019-03-18,46,9565,1,2019,Monday,March
2019-03-19,40,8508,1,2019,Tuesday,March
2019-03-20,50,7024,1,2019,Wednesday,March
2019-03-21,23,8978,1,2019,Thursday,March
2019-03-22,48,9286,1,2019,Friday,March
2019-03-23,38,5486,1,2019,Saturday,March
2019-03-24,28,5260,1,2019,Sunday,March
2019-03-25,47,5656,1,2019,Monday,March
2019-03-26,24,7989,1,2019,Tuesday,March
2019-03-27,25,7747,1,2019,Wednesday,March
2019-03-28,23,8270,1,2019,Thursday,March
2019-03-29,35,8502,1,2019,Friday,March
2019-03-30,16,8392,1,2019,Saturday,March
2019-03-31,47,7437,1,2019,Sunday,March
2019-04-01,41,9595,1,2019,Monday,April
2019-04-02,26,6627,1,2019,Tuesday,April
2019-04-03,22,5884,1,2019,Wednesday,April
2019-04-04,46,5068,1,2019,Thursday,April
2019-04-05,28,9057,1,2019,Friday,April
2019-04-06,47,9020,1,2019,Saturday,April
2019-04-07,32,9026,1,2019,Sunday,April
2019-04-08,38,6374,1,2019,Monday,April
2019-04-09,25,8207,1,2019,Tuesday,April
2019-04-10,33,6250,1,2019,Wednesday,April
2019-04-11,38,6889,1,2019,Thursday,April
2019-04-12,21,5746,1,2019,Friday,April
2019-04-13,19,5079,1,2019,Saturday,April
2019-04-14,44,6282,1,2019,Sunday,April
2019-04-15,15,7994,1,2019,Monday,April
2019-04-16,40,8684,1,2019,Tuesday,April
2019-04-17,23,6727,1,2019,Wednesday,April
2019-04-18,16,9845,1,2019,Thursday,April
2019-04-19,25,6538,1,2019,Friday,April
2019-04-20,21,8323,1,2019,Saturday,April
2019-04-21,36,5069,1,2019,Sunday,April
2019-04-22,16,7147,1,2019,Monday,April
2019-04-23,17,9658,1,2019,Tuesday,April
2019-04-24,46,7820,1,2019,Wednesday,April
